task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2024-05-31T00:36:16,feature extraction,b142b0e1-4221-45b7-a76e-326dd08f21f7,1.3046610355377197,1.3348914169186456e-05,1.020712240044676e-05,62.5,0.0,141.20075225830078,2.270516422059801e-05,0,5.128365158041106e-05,7.398881580100907e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
process directories,2024-05-31T00:39:19,feature extraction,b142b0e1-4221-45b7-a76e-326dd08f21f7,182.90367650985718,0.0018671872232231214,1.0208666938000445e-05,62.5,0.0,141.20075225830078,0.003175383446117242,0,0.007173845695227419,0.010349229141344661,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
