task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load Data,2024-05-31T00:22:49,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,0.36198997497558594,3.7179712606865204e-06,1.0203397749840687e-05,62.5,0.0,141.20075225830078,6.326167947716183e-06,0,1.4281372656250824e-05,2.060754060396701e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Preprocess Data,2024-05-31T00:22:49,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,0.002780914306640625,2.581145833451119e-08,9.59676473169698e-06,62.5,0.0,141.20075225830078,4.6334332889980386e-08,0,9.67304296864317e-08,1.4306476257641378e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Vectorize Text,2024-05-31T00:22:59,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,10.059606313705444,0.00010267175368695359,1.0208245399809815e-05,62.5,0.0,141.20075225830078,0.0001746122580435541,0,0.0003944648500440735,0.0005690771080876276,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Train Classifier,2024-05-31T00:23:00,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,0.07019710540771484,7.127007177059756e-07,1.0174240649799851e-05,62.5,0.0,141.20075225830078,1.2157981594403632e-06,0,2.7344768558350426e-06,3.950275015275487e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Evaluate Classifier,2024-05-31T00:23:00,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,0.08226561546325684,8.362925727755397e-07,1.018494726482152e-05,62.5,0.0,141.20075225830078,1.4251346389452504e-06,0,3.2101710000461184e-06,4.635305638991342e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Plot Learning Curve,2024-05-31T00:23:19,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,8.020267724990845,8.17407638022755e-05,1.0208401521592045e-05,62.5,0.0,141.20075225830078,0.00013901425732506644,0,0.0003140489836058577,0.00045306324093092416,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Save Model,2024-05-31T00:23:19,Fake news classification,b258f721-b5b6-4c08-9240-574abbfba826,0.017564773559570312,1.7777319696564973e-07,1.0123205592562895e-05,62.5,0.0,141.20075225830078,3.046087092823226e-07,0,6.807319826976268e-07,9.853406919800578e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
