task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load Data,2024-05-31T00:17:10,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,0.3747274875640869,3.862568725283851e-06,1.020241839389809e-05,62.5,0.0,141.20075225830078,6.572566926479339e-06,0,1.4836431761477797e-05,2.1408998687957137e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Preprocess Data,2024-05-31T00:17:10,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,0.0032379627227783203,2.8823240969203967e-08,9.572684685255846e-06,62.5,0.0,141.20075225830078,5.1880876223246505e-08,0,1.0787724640977178e-07,1.5975812263301659e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Vectorize Text,2024-05-31T00:17:20,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,10.281468629837036,0.0001049296494684957,1.0208149262676444e-05,62.5,0.0,141.20075225830078,0.00017845360355244743,0,0.00040313830783386494,0.0005815919113863123,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Train Classifier,2024-05-31T00:17:31,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,10.27035140991211,0.00010482336920321525,1.020829924250181e-05,62.5,0.0,141.20075225830078,0.000178270795279079,0,0.0004027320381589106,0.0005810028334379898,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Evaluate Classifier,2024-05-31T00:17:31,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,0.214036226272583,2.1815462593452104e-06,1.0198902987149092e-05,62.5,0.0,141.20075225830078,3.7132369147406703e-06,0,8.378385092737504e-06,1.2091622007478174e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Plot Loss Curve,2024-05-31T00:17:31,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,0.0019152164459228516,1.8113290256203344e-08,9.309232419403837e-06,62.5,0.0,141.20075225830078,3.347794214883428e-08,0,6.691830576526035e-08,1.0039624791431147e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
Save Model,2024-05-31T00:17:31,Fake news classification,dcf879b3-38fe-4d3d-81d7-2384d0a6f36f,0.0229647159576416,2.3146024568905868e-07,1.0123408562583177e-05,62.5,0.0,141.20075225830078,3.9652403857972935e-07,0,8.863870107006858e-07,1.2829110492803067e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
