task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2024-05-28T17:31:16,Query expansion,0c160135-cfd9-42f0-8345-3aab7b8d3748,9.041661500930786,9.230670139906064e-05,1.0208083935293167e-05,62.5,0.0,141.20075082778934,0.0001569866430428293,0,0.0003546402533813669,0.0005116268964241962,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
initialize data,2024-05-28T17:31:16,Query expansion,0c160135-cfd9-42f0-8345-3aab7b8d3748,0.08789801597595215,8.924135033613439e-07,1.0177314746705942e-05,62.5,0.0,141.20075082778934,1.5217686692873612e-06,0,3.424597565574632e-06,4.94636623486202e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
predict labels,2024-05-28T18:19:44,Query expansion,0c160135-cfd9-42f0-8345-3aab7b8d3748,2907.4201366901398,0.029680825613576083,1.0208687384294178e-05,62.5,0.0,141.20075082778934,0.050475842526389494,0,0.1140356009746807,0.1645114435010702,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
append labels,2024-05-28T18:19:44,Query expansion,0c160135-cfd9-42f0-8345-3aab7b8d3748,0.0354466438293457,3.590945539741486e-07,1.0117771655036122e-05,62.5,0.0,141.20075082778934,6.157077021076707e-07,0,1.3746400125136393e-06,1.990347714614371e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
plot data,2024-05-28T18:19:44,Query expansion,0c160135-cfd9-42f0-8345-3aab7b8d3748,0.8095800876617432,8.260422655156918e-06,1.02055512208688e-05,62.5,0.0,141.20075082778934,1.4051666690245712e-05,0,3.173324753757978e-05,4.578491422782549e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
