task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load model,2024-05-30T15:25:50,Query expansion,ba821975-a5ae-40e8-ab0c-c51ea9c50ca7,17.20318055152893,0.0001754964451802,1.0208479016176252e-05,62.5,0.0,141.20075225830078,0.0002984584743777911,0,0.0006742629014283921,0.0009727213758061832,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
read and preprocess data,2024-05-30T15:25:59,Query expansion,ba821975-a5ae-40e8-ab0c-c51ea9c50ca7,8.881912231445312,9.065463451136797e-05,1.0207817480715393e-05,62.5,0.0,141.20075225830078,0.000154181354575687,0,0.00034828865679439793,0.0005024700113700849,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
apply model,2024-05-30T15:26:00,Query expansion,ba821975-a5ae-40e8-ab0c-c51ea9c50ca7,0.4973306655883789,5.068948831247349e-06,1.0203542016785887e-05,62.5,0.0,141.20075225830078,8.624254001511492e-06,0,1.947132865236646e-05,2.8095582653877953e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
calculate percentage,2024-05-30T15:26:00,Query expansion,ba821975-a5ae-40e8-ab0c-c51ea9c50ca7,0.024780750274658203,2.5100828118492305e-07,1.0106119873357788e-05,62.5,0.0,141.20075225830078,4.3037037054699696e-07,0,9.608892664345146e-07,1.3912596369815115e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
