Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b5.txt,1739.58,1070.51,838.91,365.41,33,0,1
0140.b5.txt,1403.73,1023.82,566.65,495.81,58,0,2
0165.b5.txt,1714.08,967.28,668.56,398.29,22,0,0
0200.b5.txt,1682.24,996.88,691.59,523.36,20,0,2
0300.b5.txt,1768.8,814.76,752.09,410.86,29,1,11
0310.b5.txt,1553.15,1031.19,795.67,515.6,15,0,2
1003.b5.txt,1519.61,1127.45,532.21,420.17,34,0,3
1021.b5.txt,1754.27,1019.63,582.65,291.32,18,1,4
1023.b5.txt,1369.05,1232.14,666.67,589.29,56,2,2
1057.b5.txt,1568.4,978.82,795.65,452.2,38,0,1
1100.b5.txt,1756.27,1089.61,709.68,336.92,27,0,4
1508.b5.txt,1220.14,1162.04,406.71,432.54,68,0,6
1532.b5.txt,1506.53,1245.2,399.69,330.51,22,0,1
1533.b5.txt,1497.33,1205.27,481.28,423.69,61,0,5
2019.b5.txt,1374.71,1139.04,494.89,329.93,32,0,3
2028.b5.txt,1312.32,1340.97,464.18,383.95,42,0,30
2032.b5.txt,973.14,1231.63,527.12,506.84,39,1,17
2034.b5.txt,1514.69,957.05,746.04,437.08,32,0,3
2066.b5.txt,1295.84,1401.79,529.75,366.75,54,0,3
3018.b5.txt,1462.14,1011.75,704.96,528.72,32,0,27
3020.b5.txt,1694.35,822.26,789.04,282.39,28,0,2
