Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0107.b6.txt,1736.91,1213.28,881.23,408.68,8,0,1
0137.b6.txt,1749.0,1255.01,907.88,534.05,1,0,0
0151.b6.txt,1516.29,1328.32,676.69,563.91,9,0,0
0157.b6.txt,1215.47,1395.03,704.42,635.36,5,0,0
0158.b6.txt,1522.49,1257.21,749.71,657.44,10,0,0
0178.b6.txt,1752.9,1119.32,897.57,559.66,6,0,2
0185.b6.txt,1609.2,1307.47,747.13,416.67,8,0,0
0198.b6.txt,1542.94,1193.6,727.8,451.24,8,0,0
0219.b6.txt,1687.59,1311.02,516.04,376.57,6,0,0
0223.b6.txt,1706.1,1207.97,684.93,635.12,12,0,0
0238.b6.txt,1384.86,1417.07,805.15,418.68,3,0,0
0318.b6.txt,1754.9,980.39,852.94,450.98,9,0,2
