Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0101.a5.txt,2040.16,1084.34,763.05,409.64,6,1,1
0102.a5.txt,1657.46,1033.94,876.09,268.35,12,7,5
0103.a5.txt,1844.48,1103.07,623.87,388.79,6,8,7
0104.a5.txt,1897.48,935.25,638.49,368.71,7,6,6
0105.a5.txt,1530.52,1042.25,553.99,582.16,2,12,3
0106.a5.txt,1996.14,964.32,848.6,655.74,2,0,0
0107.a5.txt,2000.0,1220.78,779.22,545.45,3,0,0
0108.a5.txt,2099.92,1061.67,765.03,327.87,8,0,6
0111.a5.txt,1669.78,1044.78,680.97,307.84,9,9,4
0112.a5.txt,2171.58,1081.32,643.43,580.88,4,0,2
0115.a5.txt,1329.88,1079.45,751.3,483.59,16,3,2
0119.a5.txt,1837.75,1092.72,736.75,231.79,9,9,3
0121.a5.txt,1543.54,1029.02,613.46,382.59,19,0,6
0122.a5.txt,1757.36,1025.87,722.57,365.74,7,0,1
0125.a5.txt,2228.63,1008.65,883.77,480.31,1,0,2
0128.a5.txt,1945.79,1132.62,832.53,484.03,1,7,0
0130.a5.txt,1658.73,928.57,738.1,285.71,26,3,1
0134.a5.txt,1752.17,986.58,710.34,473.56,20,4,7
0137.a5.txt,1797.02,1061.45,577.28,456.24,12,7,11
0139.a5.txt,1340.87,1195.48,525.04,315.02,28,3,6
0140.a5.txt,1716.35,1029.81,632.34,280.04,14,8,12
0149.a5.txt,2579.37,1238.1,825.4,365.08,1,0,2
0157.a5.txt,1737.21,1172.84,634.92,590.83,6,0,0
0158.a5.txt,1580.33,1202.81,763.83,544.34,19,0,4
0159.a5.txt,2112.18,1060.47,964.07,333.04,0,0,1
0161.a5.txt,2190.78,881.16,970.09,258.69,4,0,3
0163.a5.txt,2313.55,936.07,882.8,433.79,1,0,0
0165.a5.txt,2054.2,987.76,830.42,288.46,5,0,4
0171.a5.txt,1572.46,949.28,521.74,384.06,33,14,2
0178.a5.txt,1519.67,1017.64,793.76,461.33,11,30,6
0182.a5.txt,2265.06,1076.31,738.96,425.7,10,0,3
0185.a5.txt,1805.79,1047.7,724.02,221.47,4,8,3
0186.a5.txt,1959.35,967.48,886.18,398.37,6,0,0
0187.a5.txt,2282.61,1105.07,778.99,362.32,5,1,5
0188.a5.txt,1559.35,1055.08,744.76,457.72,8,1,2
0192.a5.txt,1658.21,1116.75,651.44,439.93,15,2,7
0193.a5.txt,2187.77,1076.66,835.49,396.21,1,0,1
0197.a5.txt,1505.29,886.9,374.29,333.6,37,1,15
0198.a5.txt,2138.0,1010.69,806.61,369.29,2,0,0
0199.a5.txt,1814.71,993.31,773.64,382.04,7,11,1
0200.a5.txt,1478.26,1165.22,695.65,426.09,11,4,5
0206.a5.txt,1480.88,951.99,707.89,358.01,10,1,6
0214.a5.txt,1628.32,1097.35,663.72,309.73,18,11,3
0215.a5.txt,1762.39,952.01,558.62,283.24,39,2,9
0219.a5.txt,2063.06,981.98,891.89,603.6,3,0,3
0222.a5.txt,1771.54,1151.98,697.0,416.26,0,1,1
0223.a5.txt,1586.94,1032.65,675.78,387.24,6,2,6
0227.a5.txt,1625.54,928.88,761.97,348.33,25,3,1
0234.a5.txt,1588.39,922.29,512.38,333.05,14,7,4
0238.a5.txt,1898.2,1145.28,668.08,328.74,3,2,0
1003.a5.txt,2204.65,1041.86,716.28,241.86,5,0,0
1005.a5.txt,1798.45,1000.0,581.4,356.59,21,4,10
1006.a5.txt,1605.05,1018.94,658.25,405.77,14,11,2
1008.a5.txt,1921.85,1020.73,877.19,430.62,13,0,1
1010.a5.txt,2230.7,877.03,886.56,305.05,9,0,10
1012.a5.txt,1975.0,1025.0,741.67,325.0,17,0,0
1013.a5.txt,1675.39,1125.65,689.35,296.68,14,4,17
1014.a5.txt,1851.85,1012.35,790.12,353.91,21,13,4
1018.a5.txt,2038.0,958.55,898.1,276.34,10,2,0
1021.a5.txt,1824.06,1138.42,659.77,401.03,4,0,4
1022.a5.txt,2377.12,1152.82,1054.51,455.76,1,0,0
1023.a5.txt,1647.24,994.56,675.99,435.12,17,9,3
1032.a5.txt,2159.47,1162.79,664.45,573.09,0,0,1
1034.a5.txt,1813.52,1014.34,747.95,379.1,8,9,9
1036.a5.txt,1384.22,944.37,659.77,310.48,15,1,4
